Unnamed: 0,번호,제목,저자,출판사,출판일
,9,Transformer-Based Doherty Power Amplifiers for mm-Wave Applications in 40-nm CMOS,"Kaymaksut, E.; Dixian, Z.; Reynaert, P.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2015
,10,Transformer-Based Language-Person Search With Multiple Region Slicing,"Li, Hui; Xiao, Jimin; Sun, Mingjie; Lim, Eng Gee; Zhao, Yao",INSTITUTEOF ELECTRICAL AND ELECTRONICS ENGINEERS,2022
,11,Transformer-coupled transceiver speeds two-way data transmission/,"Blakeslee,Thomas R",McGraw-Hill Pub. Co.,1973
,12,Transformer-type electric radiators,"Razmyslov, V. A.; Serikov, A. V.; Gerasimenko, T. V.","ALLERTON PRESS, INC.",2005
,13,Transformer-Based Broadband High-Linearity HBT  Formula Not Shown -Boosted Transconductance Mixers,"Zhang, J.; Bao, M.; Kuylenstierna, D.; Lai, S.; Zirath, H.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2014
,14,Transformer: Lucas Samaras,"Johnson, Ken","Brandt Art Publications, etc",1997
,15,"Transformers. When fundamental change is needed at a brand, CMOS are showing they are ideally placed to spot problems and opportunities, and to ensure the customer is placed at the heart of the business","Hemsley, S.",CENTAUR MEDIA PLC,2013
,16,Transformer-Based Current-Reuse Armstrong and Armstrong-Colpitts VCOs,"Keum-Won, H.; Hyuk, R.; Joonhong, P.; Jeong-Geun, K.; Donghyun, B.",IEEE,2014
,17,Transformer-The Bridge From Electromagnetic Theory to Circuit Theory,"Alfas, S.","Jet Propulsion Laboratory, California Institute of Technology",1993
,18,Transformers: Movement Experiences for Early Childhood Classrooms,"Vagovic, Julia",National Association for the Education of Young Children,2008
,19,Transformer: Aspects of Travesty,"Quaintance, M.",BRITTANIA ART PUBLICATIONS LTD,2014
,20,Transformer‐Induced Metamorphosis of Polymeric Nanoparticle Shape at Room Temperature,"Parkatzidis, Kostas; Truong, Nghia P.; Rolland, Manon; Lutz‐Bueno, Viviane; Pilkington, Emily H.; Mezzenga, Raffaele; Anastasaki, Athina",John Wiley &Sons Ltd,2022
,21,Transformers: The New Breed of Project Managers,"Levene, R. J.",Project Management Institute,1994
,22,Transformer-Less Boost Converter With Reduced Voltage Stress for High Voltage Step-Up Applications,"Sadaf, Shima; Bhaskar, Mahajan Sagar; Meraj, Mohammad; Iqbal, Atif; Al-Emadi, Nasser",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,23,"TRANSFORMERS: Pizza boxes, hangers, and more everyday items get eco-friendly","Lee, A.C.",FAST COMPANY,2009
,24,"Transformer‐based multilevel inverters: analysis, design and implementation","Salehahari, Shirin; Babaei, Ebrahim; Hosseini, Seyed Hossein; Ajami, Ali",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2019
,25,Transformer‐less single‐phase unified power quality conditioner of no circulating current,"Xu, Congqian; Zhou, Min; Liu, Yonglu; Sun, Yao",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2020
,26,Transformer-less dynamic voltage restorer based on buck-boost converter,"Nazarpour, D.; Farzinnia, M.; Nouhi, H.",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2017
,27,Transformers: Changing the face of nursing and midwifery in the media,"McAllister, M.; Downer, T.; Hanson, J.; Oprescu, F.",ELSEVIER SCIENCE B.V. AMSTERDAM,2014
,28,Transformers: Chief information officers don't just want to make government electronic-they want to electrify it,"Harris, S.","NATIONAL JOURNAL, INC.",2005
,29,Transformer-less single-phase grid-tie photovoltaic inverter topologies for residential application with various filter circuits,"Chakraborty, Sajib; Hasan, Mohammed Mahedi; Abdur Razzak, M.","Elsevier Science B.V., Amsterdam.",2017
,30,Transformer-less single-phase unified power quality conditioner of no circulating current,"Xu, Congqian; Zhou, Min; Liu, Yonglu; Sun, Yao",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2020
,31,Transformer-Based Predistortion Linearizer for High Linearity and High Modulation Efficiency in mm-Wave 5G CMOS Power Amplifiers,"Ali, Sheikh Nijam",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,32,Transformer-Based Tunable Matching Network Design Techniques in 40-nm CMOS,"Suvarna, A. R.; Bhagavatula, V.; Rudell, J. C.",IEEE,2016
,33,Transformer-Feedback Interstage Bandwidth Enhancement for MMIC Multistage Amplifiers,"Nikandish, G.; Medi, A.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2015
,34,Transformer-based DC current sensor for digitally controlled power supplies,"Ziegler, S.; Borle, L.I.; Iu, H.H.C.",ENGINEERS MEDIA,2009
,35,Transformer: A Functional-Driven Cycle-Accurate Multicore Simulator,"Min, Q.; Zhang, W.; Zang, B.; Li, J.; Chen, H.; Fang, Z.; Zhou, K.; Lu, Y.; Hu, Y.",ACM/ IEEE,2012
,36,Transformer-Based Regression Network for Pansharpening Remote Sensing Images,"Su, Xunyang; Li, Jinjiang; Hua, Zhen",IEEE; 1999,2022
,37,Current-Reuse Transformer-Coupled Oscillators With Output Power Combining for Galvanically Isolated Power Transfer Systems,"Spina, N.; Fiore, V.; Lombardo, P.; Ragonese, E.; Palmisano, G.",IEEE,2015
,38,Autoconnected transformer-based 18-pulse ac-dc converter for power quality improvement in switched mode power supplies,"Singh, B.; Bhuvaneswari, G.; Kalpana, R.",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2010
,39,"Wideband Transformers: An Intuitive Approach to Models, Characterization and Design","Trask, C.",J. F. WHITE PUBLICATIONS,2001
,40,Single Transformer-Based Compact Doherty Power Amplifiers for 5G RF Phased-Array ICs,"Park, Hyun-Chul; Kim, Seokhyeon; Lee, Jooseok; Jung, Junho; Baek, Seungjae; Kim, Taewan; Kang, Daehyun; Minn, Donggyu; Yang, Sung-Gi",IEEE; 1998,2022
,41,Improving Transformers' Utilization Under Single Contingency Policy and Customer Reliability Requirements,"Wang, J.; Carvalho, P. M.; Kirtley, J. L.",IEEE,2013
,42,Traffic transformer: Capturing the continuity and periodicity of time series for traffic forecasting,"Cai, Ling; Janowicz, Krzysztof; Mai, Gengchen; Yan, Bo; Zhu, Rui","John Wiley & Sons, Ltd",2020
,43,Multielement Transformers: Study and Implementation,unknown,Sociedade Brasileira de Electonica de Potencia,1999
,44,Asymmetrical transformer-based embedded Z-source inverters,"Wei, M.; Loh, P. C.; Blaabjerg, F.",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2013
,45,Asymmetrical transformer-based embedded Z-source inverters,"Wei, Mo; Loh, Poh Chiang; Blaabjerg, Frede",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2013
,46,"HTS Transformer: Construction Details, Test Results, and Noted Failure Mechanisms","Lapthorn, A. C.; Chew, I.; Enright, W. G.; Bodger, P. S.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2011
,47,A Transformer-Based Reconfigurable Dual LC-Ring Structure for Multiband Programmable Frequency Generation,"Choi, S.; Kwon, K.; Kim, J. J.",THE INSTITUTE OF ELECTRICAL ENGINEERS,2017
,48,A transformer‐based injection‐locked frequency divider,"Wan, Cao; Wu, Liang; Zhu, Haoshen; Xu, Taotao; Xue, Quan","John Wiley & Sons, Ltd",2021
,49,Smart Transformer-Based Single Phase-To-Neutral Fault Management,"De Carne, Giovanni",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,50,A Transformer-Based Dual-Coupled Triple-Mode CMOS LC-VCO,"Yu, X.; El-Gouhary, A.; Neihart, N. M.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2014
,51,"Distribution Transformer&#x0027;s Loss of Life Considering Residential Prosumers Owning Solar Shingles, High-Power Fast Chargers and Second-Generation Battery Energy Storage","El-Bataway, Shady A.",IEEE,2019
,52,Series Transformer-Based Solid State Fault Current Limiter,"Radmanesh, H.; Fathi, H.; Gharehpetian, G. B.",IEEE,2015
,53,DAM: Transformer-based relation detection for Question Answering over Knowledge Base,"Chen, Yongrui; Li, Huiying","Elsevier Science B.V., Amsterdam.",2020
,54,A Transformer-Based X-Band CMOS Quadrature VCO without Current Sources,"Ko, S.; Song, T.; Yoon, E.; Hong, S.",JOHN WILEY & SONS LTD,2005
,55,Polymer Transformers: Interdigitating Reaction Networks of Fueled Monomer Species to Reconfigure Functional Polymer States,"Sun, Mo; Deng, Jie; Walther, Andreas",John Wiley &Sons Ltd,2020
,56,On-chip transformer-based feedback CMOS power oscillator,"Xiong, Y. Z.",IEE,2005
,57,A transformer‐less DC–DC converter with high voltage conversion ratio adopting inverting voltage lift cell,"Babaei, Ebrahim; Maheri, Hamed Mashinchi; Sabahi, Mehran",IET,2022
,58,Single-Phase Transformer-based HF-Isolated Impedance Source Inverters With Voltage Clamping Techniques,"Aleem, Zeeshan",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,59,Double-Ended Transformer-Based Multi-Phase Converters,"Guo, J.",IEEE; 1998,2003
,60,"Dry-Type Transformers: Specification, Installation, and Operational Impacts in a Marine Environment","Wimmer, J.; Tanner, M.; Nunn, T.; Kern, J.",IEEE,2013
,61,Open-end transformer-based power tap for interconnection of AC/DC micro-grids,"Liu, Y.; Zheng, J.; Shi, K.; Jiang, L.; Ni, K.; Wu, Q.",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2018
,62,"""Monstrous transformer"": Petrofiction and world literature","Macdonald, Graeme",Taylor & Francis,2017
,63,A transformer-based deep learning model for recognizing communication-oriented entities from patents of ICT in construction,"Wu, Hengqin; Shen, Geoffrey Qiping; Lin, Xue; Li, Minglei; Li, Clyde Zhengdao","Elsevier Science B.V., Amsterdam.",2021
,64,Hybrid Transformer-Based Tunable Differential Duplexer in a 90-nm CMOS Process,"Abdelhalem, S. H.; Gudem, P. S.; Larson, L. E.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,65,Time-Type Transformer-Based Analog-to-Digital Converter of Angular Displacements,"Potomskii, S. Y.; Kosinskii, A. V.",Springer Science + Business Media,2014
,66,Flexible transformer‐based multilevel inverter topologies,"Ashraf Gandomi, Amin; Saeidabadi, Saeid; Hosseini, Seyed Hossein; Babaei, Ebrahim; Ashraf Gandomi, Yasser",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2019
,67,Integrated Transformer-Coupled Isolation,"Kliger, R.",INSTITUTE OF ELECTRICAL & ELECTRONIC ENGINEERS,2003
,68,Instrument transformers. Field and HV laboratory study and test program to prevent failures,"Vaz, A.; Silvestre, M.",International Conference on Large High Voltage Electric Systems,1998
,69,A Transformer-Based Broadband Front-End Combo in Standard CMOS,"Wang, Y.; Wang, H.; Hull, C.; Ravid, S.",IEEE; 1998,2012
,70,Smart Transformer-Fed Variable Frequency Distribution Grid,"Zou, Z.; De Carne, G.; Buticchi, G.; Liserre, M.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,71,Simplified transformer‐based multilevel inverter topology and generalisations for renewable energy applications,"Behara, Siva; Sandeep, N.; Yaragatti, Udaykumar R.",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2018
,72,A Transformer: New CCMP Capital chairman will bring an operational bent to the private equity firm's investment strategy,"Marino, J.",unknown,2008
,73,E-band transformer-based differential 4-way power-combining amplifier,"Thian, M.","John Wiley & Sons, Ltd",2014
,74,A Transformer-like Model for the DC/AC Converter,"Scapino, F.",IEEE,2003
,75,The Transformer: Bob Gates never thought he'd be Barack Obama's defense secretary,"Kaplan, F.",CARNEGIE ENDOWMENT FOR INTERNATIONAL PEACE,2010
,76,TP-DDI: Transformer-based pipeline for the extraction of Drug-Drug Interactions,"Zaikis, Dimitrios; Vlahavas, Ioannis","Elsevier Science B.V., Amsterdam.",2021
,77,A transformer-ratio bridge for the measurement of small loss angles,T. Kwaaitaal ; W.M.M.M. van den Eijnden,Institute of Electrical and Electronics Engineers,1990
,78,Modular Transformer-Based Regenerative-Cascaded Multicell Converter for Drives With Multilevel Voltage Operation at Both Input and Output Sides,"Sau, S.; Karmakar, S.; Fernandes, B. G.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,79,Open‐end transformer‐based power tap for interconnection of AC/DC micro‐grids,"Liu, Yang; Zheng, Jiehui; Shi, Kai; Jiang, Lin; Ni, Kai; Wu, Qinghua",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2018
,80,Flexible transformer-based multilevel inverter topologies,"Ashraf Gandomi, Amin; Saeidabadi, Saeid; Hosseini, Seyed Hossein; Babaei, Ebrahim; Ashraf Gandomi, Yasser",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2019
,81,"Low-noise, transformer-coupled resonant photodetector for squeezed state generation",unknown,American Institute of Physics,2017
,82,"Piezoelectric Transformers: Principles, Structures and Modeling","Hallaert, S;Sarraute, E;Besbes, M;Le Pioufle, B.",Messe Bremen GMBH,1998
,83,Image2SMILES: Transformer‐Based Molecular Optical Recognition Engine**,"Khokhlov, Ivan; Krasnov, Lev; Fedorov, Maxim V.; Sosnin, Sergey",John Wiley & Sons Ltd,2022
,84,A Transformer-less High-Gain Boost Converter With Input Current Ripple Cancelation at a Selectable Duty Cycle,"Rosas-Caro, J. C.; Mancilla-David, F.; Mayo-Maldonado, J. C.; Gonzalez-Lopez, J. M.; Torres-Espinosa, H. L.; Valdez-Resendiz, J. E.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,85,New transformer‐less DC–DC converter topologies with reduced voltage stress on capacitors and increased voltage conversion ratio,"Abbasi, Maysam; Abbasi, Ehsan; Li, Li",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2021
,86,Vision Transformer: An Excellent Teacher for Guiding Small Networks in Remote Sensing Image Scene Classification,"Xu, Kejie; Deng, Peifang; Huang, Hong",IEEE; 1999,2022
,87,Improving transformer-steel smelting in the MMK converter shop,"Senichev, G. S.; Takhautdinov, R. S.; Bodyaev, Y. A.; Nosov, A. D.; Kutishchev, A. V.; Bessmertnykh, A. S.","ALLERTON PRESS, INC.",2006
,88,DC transformer: Dream or reality?,"Laikhtman, B.; Solomon, P. M.","Elsevier Science B.V., Amsterdam.",2006
,89,Cast-resin transformers: development of health assessment technique based on electromagnetic partial discharge detection,"Han, Ga-Ram; Jeon, Jeong-Chay; Park, Ji-Man",Springer Nature,2019
,90,The Transformer-less Series Circuit,"Gershen, B. J.; Moryl, S.",DANA CHASE PUBLICATIONS INC,2002
,91,The Transformers: One hundred enterprises demonstrate how IT plus execution equals business transformation,"Varon, E.",CXO MEDIA,2007
,92,Integrated Transformer-Coupled Balun Bandpass Filters with an Optimal Common-Mode Rejection Ratio,"Chen, C.-H.; Huang, C.-H.; Horng, T.-S.",IEEE,2012
,93,Triple-Band Transformer-Coupled LC Oscillator With Large Output Voltage Swing,"Jain, S.; Jang, S. L.",THE INSTITUTE OF ELECTRICAL ENGINEERS,2014
,94,Rust Transformers/Rust Compatible Primers,"Emeric, D. A.; Miller, C. E.",ESD -The Engineering Society,1993
,95,Knowledge Transformers: A Link Between Learning and Creativity,"Sim, S. K.; Duffy, A. H. B.",ACADEMIC PRESS,2004
,96,High-Frequency Transformer-Link Inverter with Regenerative Snubber,"Toh, L. S.; Salam, Z.; Ramli, M. Z.","Piscataway, NJ:; IEEE,",2005
,97,The transformer2 gene in Musca domestica is required for selecting and maintaining the female pathway of development,"Burghardt, G. z.; Hediger, M.; Siegenthaler, C.; Moser, M.; D??bendorfer, A.; Bopp, D.",SPRINGER,2005
,98,Multi‐input transformer‐less four‐wire microinverter with distributed MPPT for PV systems,"Gaafar, Mahmoud A.; Ibrahim, Eltaib Abdeen; Orabi, Mohamed","John Wiley & Sons, Ltd",2021
,99,The Transformer-Less Double-Side Band Suppressed Carrier Generation,"Kanmani, B.",London; Institution of Engineering and Technology,2008
,100,TDNet: transformer-based network for point cloud denoising,"Xu, Xueli; Geng, Guohua; Cao, Xin; Li, Kang; Zhou, Mingquan",OSA OPTICAL SOCIETY OF AMERICA,2022
,1,"Expert speak Transformers Humming Noise - causes & reduction Techniques Transformers noise and vibration reduction techniques with the growing consciousness on the unkind effects of noise pollution, many users are specifying lower noise levels for transformers. Noise level is very important operational characteristic of Transformer",unknown,IEEMA,2018
,2,"Transformer oil testing: here or there? Most engineers would agree breakdown testing provides the most reliable indicator of the condition of the oil in a power transformer. there is, however, far less agreement about whether the testing should be carried out on site or in the laboratory","Swinerd, P.",REED BUSINESS PUBLISHING LTD,2010
,3,TRANSFORMER TRANSFORMATIONS: Cast-resin is a safe bet when it comes to transformers,"Taylor, D.",ECA PUBLICATIONS LTD,2008
,4,Transformer Efficiency Moves to the Forefront: ComEd and PECO develop strategies to meet new minimum distribution transformer-efficiency standards issued by the Department of Energy,"Tyschenko, P.; Rave, M.; Termini, G.; Kahley, R.",unknown,2009
,5,W‐Transformer: Accurate Cobb angles estimation by using a transformer‐based hybrid structure,"Yao, Yifan; Yu, Wenjun; Gao, Yongbin; Dong, Jiuqing; Xiao, Qiangqiang; Huang, Bo; Shi, Zhicai",John Wiley & Sons Ltd,2022
,6,Frequency Optimisation for a Piezoelectric Transformer-Based Converter,"Prieto, M. J.; Diaz, J.; Martin-Ramos, J. A.","Numberg:; ZM Communications GMBH,",2005
,7,Rethinking Transformers: Enel adopts solutions to improve maintenance operations on power transformers,"Mauri, F.; Cheli, S.",unknown,2011
,8,"Right-Sizing Transformers: One-fourth of all distribution losses occur in transformers. When equipment is properly matched to load, the losses decline",unknown,APPA,2008
,9,Market Transformation for Dry-Type Distribution Transformers: The Opportunity and the Challenges,"Hinge, A.;Suozzo, M.;Jones, T.;Korn, D.;Peverell, C.",ACEEE,2000
,10,Generator Transformers: RWE experienced failure of two out of its three generator transformers at its Aberthaw power station in South Wales within a matter of weeks,unknown,PENNWELL PUBLISHING COMPANY,2008
,11,Specification transformers: a predicate transformer approach to composition,"Charpentier, M.; Chandy, K. M.",SPRINGER VERLAG KG,2004
,12,"Distribution Substation Transformers: Understanding North American Standards Defining Transformer Performance, Testing, Installation, and Maintenance","Durocher, David B.; Elliott, Marc C.; Reed, Sam T.",IEEE,2021
,13,The Smart Transformer: A solid-state transformer tailored to provide ancillary services to the distribution grid,"Ferreira Costa, L.; De Carne, G.; Buticchi, G.; Liserre, M.",IEEE,2017
,14,A matching transformer-less inrush current suppressor for transformers using a series-connected small-rated voltage-source PWM converter-consideration of the control gains and required ratings of the PWM converter,"Yamada, H.; Tanaka, T.; Funabiki, S.","John Wiley & Sons, Ltd",2007
,15,"Focus on transformers: The cost of quickly spinning new platforms using planar, or flat, transformers in embedded designs is still too high for many apps","Sivanandam, S. N.; Porkumaran, K.",CMP MEDIA,2003
,16,Analytical discrete Fourier transformer-based phasor estimation method for reducing transient impact of capacitor voltage transformer,"Tajdinian, M.; Allahbakhshi, M.; Seifi, A. R.; Bagheri, A.",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2017
,17,The dependence of transformer ratio on the shaper weighting function in transformer-coupled low noise preamplifiers,G. Ripamonti,Elsevier BV * North-Holland,1987
,18,When to Replace Aging Transformers: Guidelines to Replace Older Transformers Before Failure,"Dixon, F. L.; Steward, D.; Hoffmeister, J.",IEEE,2012
,19,Two-phase supply of three-phase transformers. Part 1: Stacked core type transformers,"Raitsios, P.",INSTITUTION OF ELECTRICAL ENGINEERS,2003
,20,Analytical discrete Fourier transformer‐based phasor estimation method for reducing transient impact of capacitor voltage transformer,"Tajdinian, Mohsen; Allahbakhshi, Mehdi; Seifi, Ali Reza; Bagheri, Alireza",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2017
,21,"""Right Size"" Your Transformer Southern Company redefines its transformer-selection philosophy","Shattuck, G. B.; Huff, R. G.",unknown,2006
,22,Selecting BMAX For Ferrite Flyback Transformers Selecting the correct flux density for ferrite flyback transformers is to optimizing the transformer's cost and size,unknown,PRIMEDIA,2013
,23,"Introducing the Family of ""Sen"" Transformers: A Set of Power Flow Controlling Transformers","Sen, K. K.; Sen, M. L.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2003
,24,Two-phase supply of three phase transformers. Part 2: Wound core type transformers,"Raitsios, P.",INSTITUTION OF ELECTRICAL ENGINEERS,2004
,25,Degradation of cellulosic insulation in power transformers: a SEC–MALLS study of artificially aged transformer papers,"Kes, M. r.; Christensen, B. r.",Springer Science + Business Media,2013
,26,Investigation of the Effects of DC Current Injected by Transformer-Less PV Inverters on Distribution Transformers,unknown,IEEE,2019
,27,Regulation of Sex-Specific Selection of fruitless 5' Splice Sites by transformer and transformer-2,"Heinrichs, V",American Society for Microbiology,1998
,28,Investigation of the Effects of DC Current Injected by Transformer-Less PV Inverters on Distribution Transformers,"Rahman, M. A.; Islam, M. R.; Mahfuz-Ur-Rahman, A. M.; Muttaqi, K. M.; Sutanto, D.",Institute of Electrical and Electronics Engineers,2018
,29,Transformer-convolutional neural network for surface charge density profile prediction: Enabling high-throughput solvent screening with COSMO-SAC,"Chen, Guzhong; Song, Zhen; Qi, Zhiwen","Elsevier Science B.V., Amsterdam.",2021
,30,Transformer3D-Det: Improving 3D Object Detection by Vote Refinement,"Zhao, Lichen; Guo, Jinyang; Xu, Dong; Sheng, Lu",INSTITUTEOF ELECTRICAL AND ELECTRONICS ENGINEERS,2021
,31,"TRANSFORMER: Using acid wit and a lush palette, Dana Schutz brings a bright painterly insouciance to social satire","Belasco, D.",ART IN AMERICA,2011
,32,TRANSFORMERS? Are the Big 30 adapting fast enough to the wholesale cange in grocery?,unknown,W M REED PUBLISHING LTD,2015
,33,Transformer-coupled π-network differential CMOS oscillator circuit topology,"Chlis, Ilias ; Pepe, Domenico ; Zito, Domenico",Wiley,2017
,34,Transformers-based information extraction with limited data for domain-specific business documents,"Nguyen, Minh-Tien; Le, Dung Tien; Le, Linh","Elsevier Science B.V., Amsterdam.",2021
,35,Transformer-less dynamic voltage restorer based on a three-leg ac/ac converter,"Min, Z.; Yao, S.; Mei, S.; Xing, L.; Jianheng, L.; Jian, L.; Yonglu, L.",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2018
,36,TRANSFORMERS: Does your communications center only answer calls and send units?,"Clark, C.; Matarese, L.; Wieczorek, T.; Garnett, A.T.",INTERNATIONAL CITY MANAGEMENT ASSOCIATION,2009
,37,"TRANSFORMERS. EUROPEAN SUPERVISORY AUTHORITIES ARE EVOLVING TO BECOME MORE POWERFUL. BUT IT�S POLITICIANS WHO SET THE BOUNDARIES, SAYS ARNOUD VOSSEN, NOT SUPERVISORS.","HEANEY, V.",INSTITUTE OF CHARTERED ACCOUNTANTS,2009
,38,Transformer-Coupled Power Amplifier Stability and Power Back-Off Analysis,"Chowdhury, D.; Reynaert, P.; Niknejad, A.M.",IEEE,2008
,39,Transformer-less 3P3W SAPF (three-phase three-wire shunt active power filter) with line-interactive UPS (uninterruptible power supply) and battery energy storage stage,"Tareen, W. U.; Mekhilef, S.","Elsevier Science B.V., Amsterdam.",2016
,40,Transformers: The Lived Experience,"Gaventa, B.",HAWORTH PASTORAL PRESS,2008
,41,"Transformer-Free, Off-the-Shelf Electrical Interface for Low-Voltage DC Energy Harvesting","Lallart, M.; Phung, L. V.; Massot, B.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,42,Transformer-coupled plasma technology for sub-half-micron etching [1803-27],"Holland, J. P.",SPIE INTERNATIONAL SOCIETY FOR OPTICAL,1992
,43,Transformers: Martin Barnes on a new coalition that intends to help people with complex needs,unknown,DRUGSCOPE,2009
,44,Transformer: an adaptation framework supporting contextual adaptation behavior composition,"Gui, N.; De Florio, V.; Holvoet, T.","John Wiley & Sons, Ltd",2013
,45,Transformer-Based Models for Automatic Identification of Argument Relations: A Cross-Domain Evaluation,"Ruiz-Dolz, Ramon; Alemany, Jose; Barbera, Stella M. Heras; Garcia-Fornes, Ana",COMPUTER SOCIETY,2021
,46,Transformer-coupled cascode stage for mm-wave power amplifiers in sub-μm CMOS technology,"Giammello, V.",Springer Science + Business Media,2011
,47,Transformer-induced low-frequency oscillations in the series-resonant converter,"Klesser, H.W.; Klaassens, J.B.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,1991
,48,Transformer-Feedback Dual-Band Neutralization Technique,"Nikandish, G.; Medi, A.",IEEE,2017
,49,TRANSFORMER.,"Seabrook, John.","Conde Nast Publications, Inc.",2009
,50,Transformer-less three-port grid-connected power converter for distribution power generation system with dual renewable energy sources,"Shen, J. M.; Jou, H. L.; Wu, J. C.",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2012
,51,Transformer-tuned front-ends for heterodyne optical receivers,J.X. Kan; I. Garrett; G. Jacobsen,[Institution of Electrical Engineers],1987
,52,Transformer‐less dynamic voltage restorer based on a three‐leg ac/ac converter,"Zhou, Min; Sun, Yao; Su, Mei; Li, Xing; Lin, Jianheng; Liang, Jian; Liu, Yonglu",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2018
,53,Transformer-Based Equalization Circuit Applied to n-Number of High Capacitance Cells,"Lambert,  S. M.; Pickert,  V.; Atkinson,  D. J.; Zhan,  H.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,54,Transformer-based Measurement of Critical Currents in Superconducting Cables: Tutorial 51,"Ballarino, A.; Montenero, G.; Arpaia, P.",INSTITUTE OF ELECTRICAL & ELECTRONIC ENGINEERS,2014
,55,TRANSFORMER: GREGORY BATTCOCK,"Joselit, D.",ARTFORUM,2012
,56,Transformer-Rectifier Package (S-Former) for Aluminum Smelting,unknown,FUJI ELECTRIC CO LTD,2002
,57,Transformer-Based Multistage Enhancement for Remote Sensing Image Super-Resolution,"Lei, Sen; Shi, Zhenwei; Mo, Wenjing",IEEE; 1999,2022
,58,Transformer-Driven Semantic Relation Inference for Multilabel Classification of High-Resolution Remote Sensing Images,"Tan, Xiaowei; Xiao, Zhifeng; Zhu, Jianjun; Wan, Qiao; Wang, Kai; Li, Deren",IEEE,2022
,59,Transformer‐coupled π‐network differential cmos oscillator circuit topology,"Chlis, Ilias; Pepe, Domenico; Zito, Domenico","John Wiley & Sons, Ltd",2017
,60,Transformer-coupled NMR probe,"Utsuzawa, S.; Mandal, S.; Song, Y. Q.","Elsevier Science B.V., Amsterdam",2012
,61,Transformer-based DC current sensor for digitally controlled power supplies,"Ziegler, S.; Borle, L.I.; Iu, H.H.C.",Engineers Media,2009
,62,"Transformer-Isolated RS-485/422 MEMS Transceivers Integrate DC-DC Converters, Terminations | Analog &amp; Power","Tuite, D.",PENTON PUBLISHING INC,2009
,63,"TRANSFORMER: Fassbinder and Herzog apart, the pioneers of 1960s Young German Cinema have been largely eclipsed. So let's remember Alexander Kluge, whose political, formally innovative and funny films chronicle German life like no others","Moller, O.",BRITISH FILM INSTITUTE,2008
,64,Transformers: Electrical design and contracting firms rely on retrofits and upgrades in the absence of new construction projects,unknown,IPC INTERTEC PUBLISHING CORPORATION,2009
,65,Transformer: A New Paradigm for Building Data-Parallel Programming Models,"Wang, P.; Meng, D.; Han, J.; Zhan, J.; Tu, B.; Shi, X.; Wan, L.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2010
,66,Transformer-Based Input Integrated Matching in Cascode Amplifiers: Analytical Proofs,"Pepe, D.; Chlis, I.; Zito, D.",IEEE,2018
,67,"Transforming the Market for Commercial and Industrial Distribution Transformers: A Government, Manufacturer, and Utility Collaboration","DeLaski, A.; Gauthier, J.; Shugars, J.; Suozzo, M.",ACEEE,1998
,68,Transformed: Large and small products are benefiting from ABB's industrial design process. Follow this process as it is applied to large transformers for distribution networks,unknown,ABB CORPORATE COMMUNICATIONS,2004
